1	2	3	4	5	6	7	8	9	10	11	12	13	14	0	
2	3	4	5	6	7	8	9	10	11	12	13	14	0	0	
3	4	5	6	7	8	9	10	11	12	13	14	1	0	0	
4	5	6	7	8	9	10	11	12	13	14	2	1	0	0	
5	6	7	8	9	10	11	12	13	14	3	2	1	0	0	
6	7	8	9	10	11	12	13	14	4	3	2	1	0	0	
7	8	9	10	11	12	13	14	5	4	3	2	1	0	0	
8	9	10	11	12	13	14	6	5	4	3	2	1	0	0	
9	10	11	12	13	14	7	6	5	4	3	2	1	0	0	
10	11	12	13	14	8	7	6	5	4	3	2	1	0	0	
11	12	13	14	9	8	7	6	5	4	3	2	1	0	0	
12	13	14	10	9	8	7	6	5	4	3	2	1	0	0	
13	14	11	10	9	8	7	6	5	4	3	2	1	0	0	
14	12	11	10	9	8	7	6	5	4	3	2	1	0	0	
13	12	11	10	9	8	7	6	5	4	3	2	1	0	0	
